mandante,visitante,resultado
Atletico-MG,Vitoria,empate
Corinthians,Criciuma,casa
Juventude,Fluminense,casa
Gremio,Cruzeiro,fora
Guarani,Internacional,casa
Figueirense,Parana,empate
Paysandu,Ponte Preta,casa
Athletico-PR,Goias,casa
Vasco,Coritiba,fora
Sao Caetano,Sao Paulo,empate
Botafogo-RJ,Palmeiras,empate
Santos,Flamengo,casa
Cruzeiro,Botafogo-RJ,casa
Internacional,Athletico-PR,casa
Palmeiras,Gremio,casa
Vitoria,Corinthians,empate
Parana,Sao Caetano,fora
Goias,Guarani,casa
Flamengo,Juventude,fora
Fluminense,Santos,casa
Criciuma,Atletico-MG,casa
Coritiba,Paysandu,empate
Ponte Preta,Vasco,casa
Sao Paulo,Figueirense,casa
Gremio,Parana,casa
Corinthians,Internacional,empate
Juventude,Vitoria,casa
Atletico-MG,Goias,fora
Guarani,Flamengo,fora
Figueirense,Coritiba,empate
Paysandu,Palmeiras,casa
Sao Caetano,Ponte Preta,fora
Vasco,Cruzeiro,casa
Botafogo-RJ,Sao Paulo,casa
Athletico-PR,Fluminense,casa
Santos,Criciuma,casa
Fluminense,Corinthians,casa
Internacional,Juventude,fora
Sao Paulo,Vasco,casa
Coritiba,Botafogo-RJ,casa
Criciuma,Athletico-PR,casa
Vitoria,Guarani,casa
Flamengo,Atletico-MG,empate
Cruzeiro,Sao Caetano,fora
Goias,Santos,empate
Palmeiras,Figueirense,empate
Ponte Preta,Gremio,casa
Parana,Paysandu,casa
Botafogo-RJ,Flamengo,empate
Corinthians,Cruzeiro,casa
Athletico-PR,Ponte Preta,casa
Gremio,Vitoria,casa
Paysandu,Criciuma,empate
Figueirense,Fluminense,casa
Guarani,Palmeiras,casa
Juventude,Sao Paulo,fora
Vasco,Goias,casa
Sao Caetano,Internacional,casa
Atletico-MG,Parana,casa
Santos,Coritiba,casa
Fluminense,Cruzeiro,empate
Athletico-PR,Gremio,empate
Flamengo,Palmeiras,fora
Juventude,Vasco,empate
Criciuma,Ponte Preta,casa
Corinthians,Sao Caetano,casa
Santos,Paysandu,casa
Atletico-MG,Figueirense,casa
Goias,Parana,casa
Vitoria,Coritiba,empate
Internacional,Sao Paulo,empate
Guarani,Botafogo-RJ,fora
Ponte Preta,Fluminense,casa
Palmeiras,Goias,fora
Figueirense,Guarani,empate
Sao Caetano,Athletico-PR,fora
Paysandu,Atletico-MG,casa
Parana,Criciuma,fora
Vasco,Corinthians,fora
Coritiba,Flamengo,casa
Gremio,Santos,casa
Botafogo-RJ,Juventude,fora
Cruzeiro,Internacional,casa
Sao Paulo,Vitoria,casa
Fluminense,Parana,casa
Santos,Sao Caetano,fora
Goias,Coritiba,fora
Atletico-MG,Gremio,casa
Flamengo,Sao Paulo,casa
Corinthians,Botafogo-RJ,empate
Internacional,Ponte Preta,fora
Guarani,Paysandu,empate
Juventude,Figueirense,empate
Vitoria,Cruzeiro,casa
Criciuma,Palmeiras,fora
Athletico-PR,Vasco,casa
Sao Paulo,Goias,casa
Parana,Internacional,fora
Ponte Preta,Vitoria,casa
Gremio,Guarani,empate
Paysandu,Juventude,fora
Figueirense,Corinthians,fora
Cruzeiro,Flamengo,casa
Vasco,Santos,fora
Botafogo-RJ,Athletico-PR,empate
Sao Caetano,Atletico-MG,empate
Coritiba,Criciuma,casa
Palmeiras,Fluminense,casa
Internacional,Figueirense,casa
Juventude,Cruzeiro,casa
Flamengo,Gremio,casa
Corinthians,Ponte Preta,casa
Criciuma,Vasco,casa
Atletico-MG,Palmeiras,fora
Fluminense,Paysandu,empate
Goias,Botafogo-RJ,casa
Guarani,Coritiba,empate
Vitoria,Sao Caetano,fora
Santos,Parana,casa
Athletico-PR,Sao Paulo,casa
Gremio,Juventude,fora
Figueirense,Athletico-PR,empate
Sao Caetano,Guarani,casa
Cruzeiro,Goias,fora
Palmeiras,Internacional,casa
Parana,Vitoria,casa
Botafogo-RJ,Santos,casa
Paysandu,Corinthians,casa
Ponte Preta,Flamengo,casa
Coritiba,Fluminense,casa
Vasco,Atletico-MG,casa
Sao Paulo,Criciuma,casa
Flamengo,Parana,casa
Corinthians,Gremio,empate
Santos,Figueirense,casa
Fluminense,Sao Paulo,casa
Guarani,Vasco,empate
Criciuma,Cruzeiro,fora
Internacional,Coritiba,empate
Athletico-PR,Paysandu,casa
Goias,Ponte Preta,casa
Juventude,Sao Caetano,empate
Vitoria,Palmeiras,empate
Atletico-MG,Botafogo-RJ,empate
Botafogo-RJ,Criciuma,empate
Parana,Juventude,fora
Sao Paulo,Guarani,empate
Gremio,Goias,empate
Paysandu,Internacional,casa
Sao Caetano,Flamengo,fora
Palmeiras,Corinthians,fora
Vasco,Fluminense,empate
Coritiba,Athletico-PR,fora
Figueirense,Vitoria,casa
Ponte Preta,Atletico-MG,empate
Cruzeiro,Santos,empate
Fluminense,Internacional,casa
Sao Paulo,Coritiba,fora
Cruzeiro,Parana,fora
Figueirense,Goias,casa
Criciuma,Sao Caetano,fora
Corinthians,Atletico-MG,casa
Ponte Preta,Palmeiras,empate
Juventude,Santos,fora
Flamengo,Vitoria,casa
Athletico-PR,Guarani,casa
Paysandu,Botafogo-RJ,casa
Gremio,Vasco,fora
Vasco,Paysandu,fora
Palmeiras,Cruzeiro,fora
Parana,Sao Paulo,fora
Atletico-MG,Juventude,empate
Goias,Criciuma,casa
Sao Caetano,Figueirense,casa
Santos,Athletico-PR,empate
Internacional,Flamengo,empate
Guarani,Corinthians,fora
Vitoria,Fluminense,fora
Botafogo-RJ,Gremio,casa
Coritiba,Ponte Preta,casa
Sao Paulo,Cruzeiro,empate
Vasco,Sao Caetano,fora
Guarani,Juventude,casa
Goias,Internacional,casa
Fluminense,Flamengo,casa
Palmeiras,Santos,fora
Figueirense,Botafogo-RJ,casa
Athletico-PR,Corinthians,casa
Ponte Preta,Parana,fora
Vitoria,Criciuma,casa
Gremio,Paysandu,empate
Atletico-MG,Coritiba,casa
Sao Caetano,Gremio,casa
