mandante,visitante,resultado
Parana,Guarani,empate
Santos,Atletico-MG,casa
Criciuma,Fluminense,fora
Flamengo,Goias,casa
Corinthians,Sao Paulo,empate
Internacional,Vitoria,casa
Botafogo-RJ,Vasco,empate
Juventude,Ponte Preta,fora
Paysandu,Figueirense,casa
Cruzeiro,Athletico-PR,fora
Coritiba,Palmeiras,empate
Figueirense,Ponte Preta,fora
Paysandu,Cruzeiro,casa
Atletico-MG,Internacional,empate
Sao Caetano,Coritiba,casa
Guarani,Fluminense,empate
Gremio,Sao Paulo,casa
Vasco,Palmeiras,fora
Athletico-PR,Flamengo,casa
Corinthians,Goias,casa
Juventude,Criciuma,casa
Botafogo-RJ,Parana,casa
Santos,Vitoria,casa
Sao Paulo,Paysandu,casa
Coritiba,Gremio,casa
Fluminense,Atletico-MG,empate
Cruzeiro,Figueirense,empate
Palmeiras,Sao Caetano,casa
Parana,Vasco,casa
Criciuma,Guarani,empate
Vitoria,Athletico-PR,fora
Goias,Juventude,fora
Internacional,Santos,casa
Ponte Preta,Botafogo-RJ,empate
Flamengo,Corinthians,empate
Vasco,Internacional,casa
Sao Paulo,Palmeiras,casa
Fluminense,Botafogo-RJ,fora
Athletico-PR,Atletico-MG,casa
Sao Caetano,Goias,casa
Figueirense,Flamengo,casa
Vitoria,Paysandu,casa
Cruzeiro,Ponte Preta,casa
Guarani,Santos,fora
Gremio,Criciuma,casa
Parana,Coritiba,casa
Corinthians,Juventude,fora
Coritiba,Cruzeiro,empate
Vasco,Figueirense,casa
Criciuma,Internacional,casa
Goias,Vitoria,casa
Gremio,Fluminense,fora
Ponte Preta,Sao Paulo,fora
Santos,Corinthians,empate
Atletico-MG,Guarani,casa
Palmeiras,Parana,empate
Paysandu,Flamengo,empate
Juventude,Athletico-PR,empate
Botafogo-RJ,Sao Caetano,empate
Corinthians,Coritiba,empate
Figueirense,Gremio,casa
Vitoria,Vasco,casa
Fluminense,Goias,fora
Santos,Ponte Preta,casa
Atletico-MG,Sao Paulo,fora
Internacional,Botafogo-RJ,casa
Sao Caetano,Paysandu,casa
Guarani,Cruzeiro,casa
Athletico-PR,Parana,empate
Flamengo,Criciuma,casa
Juventude,Palmeiras,fora
Cruzeiro,Atletico-MG,fora
Gremio,Internacional,fora
Coritiba,Juventude,fora
Paysandu,Goias,casa
Botafogo-RJ,Vitoria,empate
Palmeiras,Athletico-PR,casa
Sao Paulo,Santos,casa
Vasco,Flamengo,casa
Sao Caetano,Fluminense,casa
Criciuma,Figueirense,casa
Parana,Corinthians,fora
Guarani,Ponte Preta,empate
Palmeiras,Botafogo-RJ,casa
Goias,Athletico-PR,casa
Cruzeiro,Gremio,casa
Vitoria,Atletico-MG,casa
Internacional,Guarani,fora
Parana,Figueirense,casa
Fluminense,Juventude,casa
Ponte Preta,Paysandu,casa
Coritiba,Vasco,fora
Flamengo,Santos,empate
Criciuma,Corinthians,empate
Santos,Fluminense,casa
Guarani,Goias,empate
Paysandu,Coritiba,empate
Botafogo-RJ,Cruzeiro,casa
Juventude,Flamengo,casa
Gremio,Palmeiras,fora
Corinthians,Vitoria,casa
Figueirense,Sao Paulo,casa
Athletico-PR,Internacional,casa
Atletico-MG,Criciuma,empate
Vasco,Ponte Preta,empate
Sao Paulo,Sao Caetano,casa
Palmeiras,Paysandu,casa
Goias,Atletico-MG,casa
Flamengo,Guarani,casa
Parana,Gremio,casa
Criciuma,Santos,empate
Internacional,Corinthians,casa
Fluminense,Athletico-PR,fora
Cruzeiro,Vasco,casa
Coritiba,Figueirense,casa
Vitoria,Juventude,empate
Sao Paulo,Botafogo-RJ,casa
Ponte Preta,Sao Caetano,fora
Sao Caetano,Parana,casa
Botafogo-RJ,Coritiba,casa
Sao Caetano,Cruzeiro,casa
Gremio,Ponte Preta,casa
Corinthians,Fluminense,empate
Vasco,Sao Paulo,empate
Santos,Goias,casa
Atletico-MG,Flamengo,casa
Athletico-PR,Criciuma,casa
Guarani,Vitoria,empate
Paysandu,Parana,empate
Figueirense,Palmeiras,fora
Juventude,Internacional,fora
Fluminense,Figueirense,fora
Parana,Atletico-MG,casa
Palmeiras,Guarani,fora
Vitoria,Gremio,casa
Goias,Vasco,casa
Ponte Preta,Athletico-PR,fora
Flamengo,Botafogo-RJ,empate
Cruzeiro,Corinthians,fora
Coritiba,Santos,fora
Criciuma,Paysandu,casa
Internacional,Sao Caetano,casa
Sao Paulo,Juventude,casa
Figueirense,Atletico-MG,casa
Botafogo-RJ,Guarani,casa
Parana,Goias,casa
Cruzeiro,Fluminense,fora
Sao Paulo,Internacional,casa
Paysandu,Santos,empate
Palmeiras,Flamengo,fora
Ponte Preta,Criciuma,casa
Sao Caetano,Corinthians,casa
Coritiba,Vitoria,casa
Gremio,Athletico-PR,empate
Vasco,Juventude,empate
Fluminense,Ponte Preta,casa
Guarani,Figueirense,casa
Criciuma,Parana,fora
Atletico-MG,Paysandu,empate
Goias,Palmeiras,empate
Corinthians,Vasco,casa
Vitoria,Sao Paulo,fora
Santos,Gremio,casa
Juventude,Botafogo-RJ,casa
Athletico-PR,Sao Caetano,casa
Internacional,Cruzeiro,casa
Flamengo,Coritiba,empate
Gremio,Atletico-MG,fora
Paysandu,Guarani,casa
Palmeiras,Criciuma,casa
Parana,Fluminense,fora
Sao Paulo,Flamengo,empate
Sao Caetano,Santos,fora
Botafogo-RJ,Corinthians,fora
Vasco,Athletico-PR,casa
Coritiba,Goias,casa
Figueirense,Juventude,casa
Cruzeiro,Vitoria,casa
Ponte Preta,Internacional,fora
Fluminense,Palmeiras,empate
Vitoria,Ponte Preta,fora
Criciuma,Coritiba,empate
Guarani,Gremio,casa
Goias,Sao Paulo,casa
Atletico-MG,Sao Caetano,casa
Flamengo,Cruzeiro,casa
Corinthians,Figueirense,casa
Internacional,Parana,casa
Juventude,Paysandu,fora
Athletico-PR,Botafogo-RJ,empate
Santos,Vasco,casa
Parana,Goias,fora
Atletico-MG,Figueirense,casa
Sao Caetano,Palmeiras,empate
Flamengo,Cruzeiro,empate
Internacional,Botafogo-RJ,fora
Fortaleza,Coritiba,fora
Fluminense,Sao Paulo,casa
Corinthians,Juventude,empate
Athletico-PR,Ponte Preta,fora
Brasiliense,Vasco,empate
Santos,Paysandu,casa
Goias,Sao Caetano,empate
Vasco,Fortaleza,empate
Palmeiras,Brasiliense,casa
Ponte Preta,Atletico-MG,empate
Sao Paulo,Parana,empate
Cruzeiro,Internacional,casa
Juventude,Athletico-PR,casa
Figueirense,Flamengo,fora
Botafogo-RJ,Corinthians,casa
Coritiba,Santos,fora
Paysandu,Fluminense,fora
Parana,Juventude,empate
Goias,Figueirense,empate
Ponte Preta,Paysandu,casa
Santos,Athletico-PR,casa
Internacional,Flamengo,casa
Coritiba,Palmeiras,casa
Corinthians,Sao Paulo,fora
Fluminense,Cruzeiro,casa
Sao Caetano,Fortaleza,casa
Atletico-MG,Brasiliense,fora
Fortaleza,Ponte Preta,casa
Botafogo-RJ,Atletico-MG,casa
Sao Paulo,Coritiba,casa
Figueirense,Internacional,fora
Cruzeiro,Goias,casa
Juventude,Vasco,casa
Athletico-PR,Corinthians,fora
Paysandu,Sao Caetano,casa
Palmeiras,Parana,fora
Flamengo,Santos,casa
Brasiliense,Fluminense,fora
Parana,Ponte Preta,empate
Juventude,Paysandu,casa
Fortaleza,Brasiliense,casa
Fluminense,Coritiba,fora
Goias,Botafogo-RJ,casa
Santos,Atletico-MG,casa
Sao Caetano,Flamengo,casa
Vasco,Sao Paulo,casa
Athletico-PR,Internacional,fora
Corinthians,Figueirense,casa
Cruzeiro,Palmeiras,casa
Paysandu,Goias,casa
Sao Paulo,Cruzeiro,empate
Figueirense,Sao Caetano,casa
Palmeiras,Santos,casa
Flamengo,Fluminense,empate
Ponte Preta,Vasco,casa
Atletico-MG,Corinthians,fora
Brasiliense,Parana,casa
Botafogo-RJ,Athletico-PR,casa
Coritiba,Juventude,fora
Internacional,Fortaleza,casa
Parana,Fortaleza,casa
Cruzeiro,Ponte Preta,fora
Sao Caetano,Brasiliense,casa
Athletico-PR,Figueirense,empate
Goias,Palmeiras,casa
Botafogo-RJ,Juventude,casa
Santos,Fluminense,empate
Internacional,Atletico-MG,empate
Corinthians,Flamengo,casa
Vasco,Coritiba,empate
Paysandu,Sao Paulo,empate
Palmeiras,Vasco,casa
Brasiliense,Corinthians,fora
Figueirense,Paysandu,empate
Flamengo,Athletico-PR,empate
Atletico-MG,Sao Caetano,fora
Ponte Preta,Goias,casa
Sao Paulo,Botafogo-RJ,casa
Coritiba,Parana,casa
Fluminense,Internacional,casa
Juventude,Cruzeiro,empate
Fortaleza,Santos,empate
Parana,Atletico-MG,casa
Juventude,Ponte Preta,fora
Sao Paulo,Internacional,fora
Flamengo,Brasiliense,fora
Botafogo-RJ,Figueirense,fora
Corinthians,Fluminense,fora
Sao Caetano,Santos,fora
Goias,Coritiba,casa
Athletico-PR,Fortaleza,empate
Paysandu,Palmeiras,casa
Cruzeiro,Vasco,empate
Coritiba,Paysandu,casa
Fluminense,Parana,fora
Vasco,Goias,fora
Fortaleza,Corinthians,casa
Figueirense,Cruzeiro,empate
Atletico-MG,Flamengo,casa
Internacional,Sao Caetano,casa
Palmeiras,Botafogo-RJ,casa
Santos,Juventude,empate
Brasiliense,Athletico-PR,casa
Parana,Figueirense,casa
Juventude,Brasiliense,casa
Paysandu,Fortaleza,fora
Sao Paulo,Flamengo,casa
Sao Caetano,Ponte Preta,casa
Corinthians,Palmeiras,casa
Botafogo-RJ,Fluminense,fora
Goias,Santos,fora
Vasco,Internacional,fora
Athletico-PR,Coritiba,casa
Cruzeiro,Atletico-MG,casa
Ponte Preta,Figueirense,casa
Goias,Brasiliense,fora
Fluminense,Sao Caetano,fora
Parana,Corinthians,fora
Santos,Sao Paulo,casa
Flamengo,Vasco,casa
Coritiba,Botafogo-RJ,fora
Atletico-MG,Athletico-PR,fora
Internacional,Juventude,casa
Palmeiras,Fortaleza,fora
Sao Caetano,Parana,empate
Botafogo-RJ,Ponte Preta,casa
Fortaleza,Atletico-MG,fora
Athletico-PR,Fluminense,casa
Internacional,Goias,fora
Santos,Vasco,fora
Figueirense,Palmeiras,fora
Brasiliense,Sao Paulo,empate
Flamengo,Juventude,fora
Cruzeiro,Coritiba,empate
Corinthians,Paysandu,casa
Parana,Athletico-PR,casa
Botafogo-RJ,Brasiliense,empate
Goias,Fortaleza,casa
Sao Paulo,Sao Caetano,fora
Vasco,Corinthians,fora
Coritiba,Flamengo,casa
Palmeiras,Atletico-MG,casa
Ponte Preta,Fluminense,casa
Cruzeiro,Santos,casa
Paysandu,Internacional,fora
Fortaleza,Juventude,casa
Fluminense,Goias,empate
Sao Caetano,Botafogo-RJ,fora
Corinthians,Cruzeiro,casa
Athletico-PR,Vasco,casa
Santos,Ponte Preta,fora
Atletico-MG,Sao Paulo,empate
Brasiliense,Paysandu,empate
Flamengo,Palmeiras,empate
Figueirense,Coritiba,empate
Internacional,Parana,fora
Cruzeiro,Fortaleza,casa
Goias,Atletico-MG,casa
Vasco,Sao Caetano,casa
Figueirense,Fluminense,empate
Coritiba,Brasiliense,empate
Botafogo-RJ,Flamengo,fora
Ponte Preta,Internacional,empate
Paysandu,Parana,fora
Juventude,Sao Paulo,casa
Palmeiras,Athletico-PR,empate
Brasiliense,Cruzeiro,fora
Sao Caetano,Juventude,empate
Corinthians,Coritiba,casa
Athletico-PR,Goias,casa
Atletico-MG,Paysandu,empate
Internacional,Santos,fora
Flamengo,Ponte Preta,casa
Parana,Botafogo-RJ,casa
Fluminense,Vasco,casa
Fortaleza,Figueirense,casa
Sao Paulo,Palmeiras,empate
Athletico-PR,Cruzeiro,casa
Corinthians,Sao Caetano,fora
Botafogo-RJ,Paysandu,casa
Juventude,Palmeiras,fora
Parana,Santos,empate
Fortaleza,Flamengo,casa
Brasiliense,Internacional,empate
Atletico-MG,Fluminense,fora
Ponte Preta,Coritiba,fora
Sao Paulo,Goias,fora
Sao Caetano,Athletico-PR,casa
Paysandu,Vasco,fora
Coritiba,Atletico-MG,casa
Palmeiras,Ponte Preta,casa
Internacional,Corinthians,empate
Figueirense,Sao Paulo,casa
Santos,Brasiliense,empate
Fluminense,Fortaleza,casa
Flamengo,Parana,empate
Goias,Juventude,casa
Coritiba,Sao Caetano,empate
Palmeiras,Internacional,casa
Paysandu,Athletico-PR,casa
Ponte Preta,Corinthians,fora
Vasco,Atletico-MG,casa
Figueirense,Brasiliense,empate
Goias,Flamengo,casa
Cruzeiro,Parana,fora
Sao Paulo,Fortaleza,casa
Botafogo-RJ,Santos,empate
Atletico-MG,Juventude,casa
Sao Caetano,Cruzeiro,fora
Athletico-PR,Sao Paulo,casa
Corinthians,Goias,empate
Parana,Vasco,empate
Fluminense,Palmeiras,empate
Brasiliense,Ponte Preta,casa
Fortaleza,Botafogo-RJ,casa
Flamengo,Paysandu,casa
Santos,Figueirense,casa
Palmeiras,Sao Caetano,casa
Ponte Preta,Athletico-PR,fora
Goias,Parana,empate
Vasco,Brasiliense,casa
Sao Paulo,Fluminense,empate
Cruzeiro,Flamengo,empate
Juventude,Corinthians,casa
Paysandu,Santos,fora
Botafogo-RJ,Internacional,fora
Figueirense,Atletico-MG,fora
Coritiba,Fortaleza,casa
Athletico-PR,Juventude,empate
Sao Caetano,Goias,fora
Brasiliense,Palmeiras,casa
Parana,Sao Paulo,fora
Flamengo,Figueirense,empate
Internacional,Cruzeiro,casa
Corinthians,Botafogo-RJ,empate
Atletico-MG,Ponte Preta,casa
Fortaleza,Vasco,casa
Fluminense,Paysandu,casa
Santos,Coritiba,casa
Botafogo-RJ,Vasco,empate
Fortaleza,Sao Caetano,casa
Brasiliense,Atletico-MG,fora
Figueirense,Goias,casa
Juventude,Parana,casa
Cruzeiro,Fluminense,fora
Athletico-PR,Santos,empate
Paysandu,Ponte Preta,empate
Flamengo,Internacional,empate
Palmeiras,Coritiba,empate
Sao Caetano,Paysandu,fora
Goias,Cruzeiro,casa
Santos,Flamengo,empate
Internacional,Figueirense,casa
Vasco,Juventude,casa
Parana,Palmeiras,fora
Corinthians,Athletico-PR,casa
Ponte Preta,Fortaleza,casa
Coritiba,Sao Paulo,fora
Atletico-MG,Botafogo-RJ,fora
Ponte Preta,Parana,casa
Paysandu,Juventude,casa
Palmeiras,Cruzeiro,casa
Flamengo,Sao Caetano,casa
Sao Paulo,Vasco,casa
Brasiliense,Fortaleza,fora
Internacional,Athletico-PR,casa
Figueirense,Corinthians,fora
Botafogo-RJ,Goias,casa
Coritiba,Fluminense,empate
Atletico-MG,Santos,casa
Sao Caetano,Figueirense,fora
Fortaleza,Internacional,fora
Goias,Paysandu,casa
Parana,Brasiliense,casa
Santos,Palmeiras,casa
Cruzeiro,Sao Paulo,fora
Fluminense,Flamengo,empate
Juventude,Coritiba,empate
Vasco,Ponte Preta,empate
Corinthians,Atletico-MG,empate
Athletico-PR,Botafogo-RJ,casa
Sao Paulo,Paysandu,casa
Brasiliense,Sao Caetano,empate
Fortaleza,Parana,empate
Juventude,Botafogo-RJ,empate
Figueirense,Athletico-PR,casa
Ponte Preta,Cruzeiro,fora
Coritiba,Vasco,casa
Flamengo,Corinthians,fora
Palmeiras,Goias,casa
Fluminense,Santos,casa
Atletico-MG,Internacional,empate
Parana,Coritiba,casa
Goias,Ponte Preta,casa
Cruzeiro,Juventude,casa
Paysandu,Figueirense,casa
Sao Caetano,Atletico-MG,casa
Santos,Fortaleza,empate
Internacional,Fluminense,empate
Vasco,Palmeiras,empate
Corinthians,Brasiliense,casa
Botafogo-RJ,Sao Paulo,empate
Athletico-PR,Flamengo,casa
Santos,Sao Caetano,casa
Ponte Preta,Juventude,casa
Coritiba,Goias,fora
Atletico-MG,Parana,fora
Figueirense,Botafogo-RJ,casa
Fortaleza,Athletico-PR,fora
Vasco,Cruzeiro,empate
Palmeiras,Paysandu,casa
Brasiliense,Flamengo,fora
Fluminense,Corinthians,fora
Internacional,Sao Paulo,casa
Botafogo-RJ,Palmeiras,fora
Corinthians,Fortaleza,casa
Parana,Fluminense,casa
Juventude,Santos,casa
Goias,Vasco,casa
Cruzeiro,Figueirense,casa
Sao Caetano,Internacional,empate
Sao Paulo,Ponte Preta,casa
Flamengo,Atletico-MG,fora
Athletico-PR,Brasiliense,casa
Paysandu,Coritiba,casa
Vasco,Figueirense,empate
Cruzeiro,Botafogo-RJ,empate
Juventude,Fluminense,fora
Santos,Corinthians,fora
Fluminense,Botafogo-RJ,casa
Fortaleza,Paysandu,fora
Brasiliense,Juventude,casa
Figueirense,Parana,casa
Coritiba,Athletico-PR,fora
Internacional,Vasco,casa
Palmeiras,Corinthians,empate
Atletico-MG,Cruzeiro,fora
Flamengo,Sao Paulo,fora
Santos,Goias,empate
Ponte Preta,Sao Caetano,fora
Vasco,Botafogo-RJ,casa
Ponte Preta,Sao Paulo,casa
Paysandu,Cruzeiro,casa
Juventude,Figueirense,empate
Brasiliense,Goias,fora
Sao Caetano,Fluminense,empate
Vasco,Flamengo,casa
Corinthians,Parana,casa
Fortaleza,Palmeiras,empate
Athletico-PR,Atletico-MG,casa
Juventude,Internacional,casa
Cruzeiro,Paysandu,casa
Figueirense,Ponte Preta,casa
Botafogo-RJ,Coritiba,casa
Sao Paulo,Santos,fora
Sao Paulo,Corinthians,empate
Fluminense,Brasiliense,empate
Coritiba,Cruzeiro,fora
Goias,Internacional,fora
Atletico-MG,Fortaleza,fora
Palmeiras,Figueirense,empate
Vasco,Santos,fora
Juventude,Flamengo,empate
Sao Paulo,Brasiliense,fora
Fluminense,Athletico-PR,casa
Paysandu,Corinthians,fora
Ponte Preta,Botafogo-RJ,fora
Internacional,Coritiba,casa
Parana,Sao Caetano,fora
Figueirense,Juventude,casa
Fortaleza,Goias,empate
Atletico-MG,Palmeiras,fora
Santos,Cruzeiro,fora
Athletico-PR,Parana,casa
Corinthians,Vasco,empate
Sao Caetano,Sao Paulo,fora
Fluminense,Ponte Preta,casa
Brasiliense,Botafogo-RJ,empate
Internacional,Paysandu,casa
Flamengo,Coritiba,casa
Sao Paulo,Atletico-MG,empate
Juventude,Fortaleza,casa
Ponte Preta,Santos,casa
Cruzeiro,Corinthians,casa
Goias,Fluminense,fora
Coritiba,Figueirense,casa
Palmeiras,Flamengo,fora
Vasco,Athletico-PR,casa
Botafogo-RJ,Sao Caetano,casa
Parana,Internacional,casa
Paysandu,Brasiliense,casa
Sao Paulo,Juventude,casa
Fortaleza,Cruzeiro,casa
Flamengo,Botafogo-RJ,casa
Sao Caetano,Vasco,fora
Corinthians,Santos,casa
Internacional,Ponte Preta,casa
Parana,Paysandu,casa
Atletico-MG,Goias,fora
Fluminense,Figueirense,casa
Athletico-PR,Palmeiras,casa
Brasiliense,Coritiba,empate
Palmeiras,Sao Paulo,casa
Botafogo-RJ,Parana,casa
Paysandu,Atletico-MG,fora
Figueirense,Fortaleza,casa
Goias,Athletico-PR,casa
Ponte Preta,Flamengo,empate
Coritiba,Corinthians,fora
Vasco,Fluminense,casa
Cruzeiro,Brasiliense,casa
Juventude,Sao Caetano,casa
Santos,Internacional,fora
Palmeiras,Juventude,casa
Flamengo,Fortaleza,casa
Goias,Sao Paulo,casa
Internacional,Brasiliense,casa
Sao Caetano,Corinthians,casa
Santos,Parana,empate
Figueirense,Vasco,casa
Paysandu,Botafogo-RJ,casa
Coritiba,Ponte Preta,casa
Cruzeiro,Athletico-PR,fora
Fluminense,Atletico-MG,fora
Sao Paulo,Figueirense,casa
Juventude,Goias,casa
Brasiliense,Santos,casa
Parana,Flamengo,fora
Corinthians,Internacional,empate
Athletico-PR,Sao Caetano,empate
Vasco,Paysandu,casa
Atletico-MG,Coritiba,casa
Fortaleza,Fluminense,casa
Ponte Preta,Palmeiras,fora
Botafogo-RJ,Cruzeiro,casa
Atletico-MG,Vasco,empate
Brasiliense,Figueirense,fora
Athletico-PR,Paysandu,casa
Sao Caetano,Coritiba,empate
Internacional,Palmeiras,casa
Parana,Cruzeiro,casa
Fluminense,Juventude,fora
Corinthians,Ponte Preta,casa
Fortaleza,Sao Paulo,casa
Flamengo,Goias,empate
Santos,Botafogo-RJ,casa
Sao Paulo,Athletico-PR,casa
Paysandu,Flamengo,fora
Figueirense,Santos,casa
Ponte Preta,Brasiliense,casa
Vasco,Parana,casa
Coritiba,Internacional,casa
Palmeiras,Fluminense,casa
Juventude,Atletico-MG,fora
Cruzeiro,Sao Caetano,fora
Botafogo-RJ,Fortaleza,casa
Goias,Corinthians,casa
Juventude,Parana,casa
Vasco,Internacional,empate
Sao Paulo,Flamengo,casa
Gremio,Corinthians,casa
Botafogo-RJ,Fortaleza,casa
Sao Caetano,Cruzeiro,casa
Palmeiras,Ponte Preta,fora
Santa Cruz,Figueirense,empate
Athletico-PR,Fluminense,fora
Goias,Santos,empate
Corinthians,Sao Caetano,casa
Fluminense,Goias,casa
Figueirense,Palmeiras,casa
Internacional,Santa Cruz,casa
Santos,Athletico-PR,casa
Ponte Preta,Vasco,fora
Flamengo,Juventude,casa
Cruzeiro,Gremio,casa
Parana,Botafogo-RJ,empate
Fortaleza,Sao Paulo,casa
Fortaleza,Sao Caetano,casa
Botafogo-RJ,Athletico-PR,fora
Sao Paulo,Santa Cruz,casa
Ponte Preta,Corinthians,casa
Internacional,Flamengo,casa
Parana,Gremio,casa
Palmeiras,Santos,fora
Vasco,Fluminense,empate
Juventude,Goias,empate
Figueirense,Cruzeiro,fora
Santa Cruz,Ponte Preta,empate
Fluminense,Parana,casa
Santos,Fortaleza,casa
Gremio,Vasco,fora
Sao Caetano,Palmeiras,casa
Athletico-PR,Internacional,fora
Corinthians,Sao Paulo,fora
Flamengo,Botafogo-RJ,casa
Goias,Figueirense,casa
Cruzeiro,Juventude,casa
Sao Caetano,Juventude,fora
Botafogo-RJ,Gremio,empate
Santos,Ponte Preta,casa
Santa Cruz,Athletico-PR,fora
Internacional,Sao Paulo,casa
Figueirense,Fluminense,casa
Palmeiras,Cruzeiro,empate
Flamengo,Fortaleza,empate
Parana,Corinthians,fora
Goias,Vasco,casa
Athletico-PR,Goias,fora
Fortaleza,Parana,empate
Internacional,Figueirense,fora
Sao Paulo,Sao Caetano,casa
Palmeiras,Santa Cruz,casa
Cruzeiro,Flamengo,casa
Vasco,Corinthians,fora
Ponte Preta,Gremio,empate
Fluminense,Santos,casa
Juventude,Botafogo-RJ,casa
Cruzeiro,Ponte Preta,casa
Parana,Figueirense,empate
Juventude,Santa Cruz,casa
Sao Paulo,Palmeiras,casa
Sao Caetano,Athletico-PR,casa
Fortaleza,Fluminense,fora
Flamengo,Santos,empate
Botafogo-RJ,Vasco,casa
Gremio,Goias,casa
Corinthians,Internacional,fora
Athletico-PR,Juventude,casa
Figueirense,Fortaleza,empate
Ponte Preta,Parana,fora
Santos,Corinthians,casa
Internacional,Cruzeiro,empate
Santa Cruz,Botafogo-RJ,empate
Fluminense,Flamengo,casa
Palmeiras,Gremio,fora
Goias,Sao Caetano,casa
Vasco,Sao Paulo,empate
Cruzeiro,Athletico-PR,empate
Fortaleza,Vasco,empate
Juventude,Ponte Preta,fora
Sao Caetano,Internacional,empate
Sao Paulo,Fluminense,casa
Gremio,Santos,casa
Flamengo,Palmeiras,casa
Botafogo-RJ,Figueirense,fora
Parana,Santa Cruz,casa
Corinthians,Goias,fora
Fluminense,Internacional,fora
Fortaleza,Cruzeiro,fora
Gremio,Sao Caetano,empate
Corinthians,Flamengo,fora
Vasco,Santa Cruz,casa
Ponte Preta,Figueirense,casa
Athletico-PR,Palmeiras,casa
Goias,Parana,fora
Juventude,Sao Paulo,empate
Santos,Botafogo-RJ,empate
Internacional,Ponte Preta,casa
Athletico-PR,Fortaleza,empate
Fluminense,Juventude,casa
Sao Paulo,Gremio,casa
Figueirense,Santos,casa
Sao Caetano,Botafogo-RJ,empate
Cruzeiro,Corinthians,casa
Santa Cruz,Goias,casa
Flamengo,Parana,fora
Palmeiras,Vasco,casa
Botafogo-RJ,Ponte Preta,casa
Sao Paulo,Figueirense,casa
Gremio,Fluminense,empate
Palmeiras,Corinthians,casa
Sao Caetano,Santos,casa
Cruzeiro,Goias,empate
Fortaleza,Santa Cruz,fora
Parana,Athletico-PR,casa
Juventude,Internacional,casa
Flamengo,Vasco,fora
Figueirense,Gremio,casa
Parana,Cruzeiro,casa
Corinthians,Fortaleza,empate
Fluminense,Sao Caetano,empate
Ponte Preta,Sao Paulo,fora
Vasco,Athletico-PR,casa
Santa Cruz,Flamengo,casa
Santos,Juventude,casa
Internacional,Botafogo-RJ,empate
Goias,Palmeiras,fora
Juventude,Figueirense,casa
Sao Caetano,Ponte Preta,empate
Palmeiras,Parana,casa
Sao Paulo,Santos,fora
Santa Cruz,Corinthians,casa
Vasco,Cruzeiro,casa
Athletico-PR,Flamengo,casa
Goias,Fortaleza,empate
Internacional,Gremio,empate
Fluminense,Botafogo-RJ,empate
Figueirense,Sao Caetano,empate
Gremio,Juventude,casa
Corinthians,Athletico-PR,casa
Flamengo,Goias,casa
Santos,Internacional,casa
Botafogo-RJ,Sao Paulo,empate
Parana,Vasco,casa
Ponte Preta,Fluminense,casa
Cruzeiro,Santa Cruz,empate
Fortaleza,Palmeiras,empate
Juventude,Vasco,empate
Sao Caetano,Santa Cruz,casa
Corinthians,Figueirense,fora
Flamengo,Ponte Preta,empate
Botafogo-RJ,Palmeiras,fora
Gremio,Athletico-PR,casa
Cruzeiro,Fluminense,fora
Fortaleza,Internacional,fora
Sao Paulo,Goias,casa
Parana,Santos,empate
Ponte Preta,Fortaleza,fora
Santa Cruz,Gremio,fora
Vasco,Sao Caetano,fora
Goias,Botafogo-RJ,empate
Figueirense,Flamengo,empate
Fluminense,Corinthians,fora
Santos,Cruzeiro,casa
Palmeiras,Juventude,empate
Ponte Preta,Goias,casa
Flamengo,Gremio,casa
Fluminense,Santa Cruz,empate
Santos,Vasco,fora
Fortaleza,Juventude,casa
Cruzeiro,Sao Paulo,empate
Figueirense,Athletico-PR,empate
Parana,Sao Caetano,casa
Internacional,Palmeiras,empate
Corinthians,Botafogo-RJ,casa
Athletico-PR,Ponte Preta,casa
Goias,Internacional,empate
Palmeiras,Fluminense,casa
Botafogo-RJ,Cruzeiro,casa
Santa Cruz,Santos,empate
Juventude,Corinthians,empate
Sao Caetano,Flamengo,empate
Gremio,Fortaleza,casa
Sao Paulo,Parana,casa
Vasco,Figueirense,casa
Fluminense,Athletico-PR,fora
Santos,Goias,casa
Cruzeiro,Sao Caetano,casa
Flamengo,Sao Paulo,empate
Corinthians,Gremio,fora
Internacional,Vasco,fora
Parana,Juventude,fora
Ponte Preta,Palmeiras,empate
Figueirense,Santa Cruz,casa
Fortaleza,Botafogo-RJ,fora
Gremio,Cruzeiro,casa
Goias,Fluminense,casa
Santa Cruz,Internacional,fora
Palmeiras,Figueirense,empate
Juventude,Flamengo,casa
Sao Caetano,Corinthians,fora
Athletico-PR,Santos,casa
Botafogo-RJ,Parana,casa
Sao Paulo,Fortaleza,empate
Vasco,Ponte Preta,empate
Cruzeiro,Figueirense,empate
Flamengo,Internacional,fora
Santos,Palmeiras,casa
Gremio,Parana,casa
Sao Caetano,Fortaleza,empate
Athletico-PR,Botafogo-RJ,fora
Goias,Juventude,casa
Fluminense,Vasco,empate
Santa Cruz,Sao Paulo,fora
Corinthians,Ponte Preta,casa
Ponte Preta,Santa Cruz,casa
Vasco,Gremio,empate
Palmeiras,Sao Caetano,casa
Juventude,Cruzeiro,casa
Sao Paulo,Corinthians,empate
Parana,Fluminense,casa
